position,word,freq,label,function,item,activation
13,cages,365.625,gram_high,NNS,13,-3.4317022931679384
14,.,24.75,gram_high,.,13,-6.2500316988811715
1,many,100867.5,gram_high,JJ,14,2.2250632597369115
2,harsh,1734.75,gram_high,JJ,14,-1.8533394463044128
3,glances,486.0,gram_high,NNS,14,-3.14114010923714
4,were,363186.0,gram_high,VBD,14,3.507260646608495
5,directed,3951.0,gram_high,VBN,14,-1.0240945531866446
6,at,537950.25,gram_high,IN,14,3.900327488661853
7,the,6961417.875,gram_high,DT,14,6.461418845027831
8,people,139677.75,gram_high,NNS,14,2.5509386501991385
9,who,232455.375,gram_high,WP,14,3.0607401348152368
10,hurried,1486.125,gram_high,VBD,14,-2.0092647201012652
11,through,94585.5,gram_high,IN,14,2.160684376304592
12,the,6961417.875,gram_high,DT,14,6.461418845027831
13,crowd,4966.875,gram_high,NN,14,-0.7941047593034964
14,rudely,148.5,gram_high,RB,14,-4.355401926511558
15,.,24.75,gram_high,.,14,-6.2500316988811715
1,the,6961417.875,gram_high,DT,15,6.461418845027831
2,jury,2576.25,gram_high,NN,15,-1.454549002699426
3,was,1039471.875,gram_high,VBD,15,4.559308638799121
4,not,520624.125,gram_high,RB,15,3.8675734186303243
5,favorable,11.25,gram_high,JJ,15,-7.105216335875734
6,toward,1429.875,gram_high,IN,15,-2.0484882291173507
7,the,6961417.875,gram_high,DT,15,6.461418845027831
8,defendant,3729.375,gram_high,NN,15,-1.0822139005300355
9,who,232455.375,gram_high,WP,15,3.0607401348152368
10,changed,12921.75,gram_high,VBD,15,0.1660152482327948
11,part,56775.375,gram_high,NN,15,1.6495918770137705
12,of,3309513.75,gram_high,IN,15,5.717712269505563
13,his,487798.875,gram_high,PRP$,15,3.80241399149176
14,story,15385.5,gram_high,NN,15,0.34107860932972095
15,.,24.75,gram_high,.,15,-6.2500316988811715
1,the,6961417.875,gram_high,DT,16,6.461418845027831
2,psychiatrist,442.125,gram_high,NN,16,-3.23750957936452
3,worked,14341.5,gram_high,VBD,16,0.27059876517839404
4,with,733556.25,gram_high,IN,16,4.210608759730691
5,a,2419745.625,gram_high,DT,16,5.404505368361806
6,patient,9261.0,gram_high,NN,16,-0.16822000333772788
7,who,232455.375,gram_high,WP,16,3.0607401348152368
8,remembered,6133.5,gram_high,VBD,16,-0.5820443760010375
9,most,111103.875,gram_high,JJS,16,2.3218280820352697
10,of,3309513.75,gram_high,IN,16,5.717712269505563
11,her,367890.75,gram_high,PRP$,16,3.5201383182468797
12,childhood,3181.5,gram_high,NN,16,-1.242119837634597
13,family,38799.0,gram_high,NN,16,1.268244296355963
14,vacations,117.0,gram_high,NNS,16,-4.5996283478021835
15,.,24.75,gram_high,.,16,-6.2500316988811715
1,he,766551.375,gram_high,PRP,17,4.2546246760537185
2,learned,6072.75,gram_high,VBD,17,-0.5920661112041111
3,a,2419745.625,gram_high,DT,17,5.404505368361806
4,lot,20793.375,gram_high,NN,17,0.6431181135857279
5,from,465226.875,gram_high,IN,17,3.755010894996567
6,the,6961417.875,gram_high,DT,17,6.461418845027831
7,lawyer,2478.375,gram_high,NN,17,-1.493589840914268
8,who,232455.375,gram_high,WP,17,3.0607401348152368
9,considered,15217.875,gram_high,VBD,17,0.33007890684733954
10,the,6961417.875,gram_high,DT,17,6.461418845027831
11,politician,1218.375,gram_high,NN,17,-2.210013142639118
12,.,24.75,gram_high,.,17,-6.2500316988811715
1,due,7588.125,gram_high,JJ,18,-0.3682509392065717
2,to,2880389.25,gram_high,TO,18,5.578807643890024
3,its,183494.25,gram_high,PRP$,18,2.824035185842067
4,style,12065.625,gram_high,NN,18,0.0972428740029901
5,",",3.375,gram_high,",",18,-8.553019211179882
6,nobody,7007.625,gram_high,NN,18,-0.44821375254267415
7,took,44055.0,gram_high,VBD,18,1.3955168776000015
8,the,6961417.875,gram_high,DT,18,6.461418845027831
9,news,16377.75,gram_high,NN,18,0.40375129776890206
10,story,15385.5,gram_high,NN,18,0.34107860932972095
11,that,1254804.75,gram_high,WDT,18,4.747640315532376
12,predicted,2062.125,gram_high,VBD,18,-1.6788234977610057
13,the,6961417.875,gram_high,DT,18,6.461418845027831
14,disaster,3191.625,gram_high,NN,18,-1.2389414499260214
15,seriously,6411.375,gram_high,RB,18,-0.5375201495419298
16,.,24.75,gram_high,.,18,-6.2500316988811715
1,everybody,6844.5,gram_high,NN,19,-0.47186243175919396
2,marveled,1.125,gram_high,VBD,19,-9.928453736910233
3,at,537950.25,gram_high,IN,19,3.900327488661853
4,the,6961417.875,gram_high,DT,19,6.461418845027831
5,boy,14951.25,gram_high,NN,19,0.3123710386444603
6,who,232455.375,gram_high,WP,19,3.0607401348152368
7,screwed,601.875,gram_high,VBD,19,-2.9246842438864986
8,all,295252.875,gram_high,PDT,19,3.300044068279032
9,the,6961417.875,gram_high,DT,19,6.461418845027831
