position,word,freq,label,function,item,activation
5,student,8616.375,obj_ext,NN,10,-0.24066834176401825
6,shoved,437.625,obj_ext,VBD,10,-3.2485115120145767
7,into,183903.75,obj_ext,TO,10,2.8262649157595674
8,the,6961417.875,obj_ext,DT,10,6.461418845027831
9,crowd,4966.875,obj_ext,NN,10,-0.7941047593034964
10,was,1039471.875,obj_ext,VBD,10,4.559308638799121
11,demonstrating,853.875,obj_ext,VBG,10,-2.5699439913390827
12,against,63234.0,obj_ext,IN,10,1.7574953689020838
1,the,6961417.875,obj_ext,DT,11,6.461418845027831
2,intern,32.625,obj_ext,NN,11,-5.948086682650257
3,who,232455.375,obj_ext,WP,11,3.0607401348152368
4,the,6961417.875,obj_ext,DT,11,6.461418845027831
5,assistant,4183.875,obj_ext,NN,11,-0.9666030426465049
6,assigned,1374.75,obj_ext,VBD,11,-2.0881533556674636
7,to,2880389.25,obj_ext,TO,11,5.578807643890024
8,the,6961417.875,obj_ext,DT,11,6.461418845027831
9,project,17116.875,obj_ext,NN,11,0.4480143239896119
10,will,286386.75,obj_ext,MD,11,3.2695345742776034
11,be,747877.5,obj_ext,VB,11,4.229951711019649
12,promoted,1784.25,obj_ext,VBN,11,-1.8248107360486923
1,the,6961417.875,obj_ext,DT,12,6.461418845027831
2,firefighter,27.0,obj_ext,NN,12,-6.139109430302041
3,who,232455.375,obj_ext,WP,12,3.0607401348152368
4,the,6961417.875,obj_ext,DT,12,6.461418845027831
5,policewoman,187.875,obj_ext,NN,12,-4.114218933131934
6,directed,3951.0,obj_ext,VBD,12,-1.0240945531866446
7,to,2880389.25,obj_ext,TO,12,5.578807643890024
8,the,6961417.875,obj_ext,DT,12,6.461418845027831
9,scene,7654.5,obj_ext,NN,12,-0.35952994308655545
10,was,1039471.875,obj_ext,VBD,12,4.559308638799121
11,concerned,18328.5,obj_ext,VBN,12,0.5166064058246188
12,about,221755.5,obj_ext,IN,12,3.0135808560041815
1,the,6961417.875,obj_ext,DT,13,6.461418845027831
2,prisoner,1872.0,obj_ext,NN,13,-1.7763198469530181
3,who,232455.375,obj_ext,WP,13,3.0607401348152368
4,the,6961417.875,obj_ext,DT,13,6.461418845027831
5,guard,3438.0,obj_ext,NN,13,-1.1640104874266248
6,shoved,437.625,obj_ext,VBD,13,-3.2485115120145767
7,into,183903.75,obj_ext,TO,13,2.8262649157595674
8,the,6961417.875,obj_ext,DT,13,6.461418845027831
9,wall,13538.25,obj_ext,NN,13,0.21279025379768846
10,has,291873.375,obj_ext,VBZ,13,3.288525019308653
11,been,302313.375,obj_ext,VBN,13,3.3236926694507885
12,put,67089.375,obj_ext,VBN,13,1.816760802512049
1,the,6961417.875,obj_ext,DT,14,6.461418845027831
2,cheerleader,15.75,obj_ext,NN,14,-6.750442811456028
3,who,232455.375,obj_ext,WP,14,3.0607401348152368
4,the,6961417.875,obj_ext,DT,14,6.461418845027831
5,quarterback,65.25,obj_ext,NN,14,-5.20861088031231
6,took,44055.0,obj_ext,VBD,14,1.3955168776000015
7,to,2880389.25,obj_ext,TO,14,5.578807643890024
8,the,6961417.875,obj_ext,DT,14,6.461418845027831
9,party,45344.25,obj_ext,NN,14,1.4244084577308465
10,has,291873.375,obj_ext,VBZ,14,3.288525019308653
11,been,302313.375,obj_ext,VBN,14,3.3236926694507885
12,dating,1531.125,obj_ext,VBG,14,-1.979152049918296
1,the,6961417.875,obj_ext,DT,15,6.461418845027831
2,customer,5245.875,obj_ext,NN,15,-0.7391693749209691
3,who,232455.375,obj_ext,WP,15,3.0607401348152368
4,the,6961417.875,obj_ext,DT,15,6.461418845027831
5,clerk,2196.0,obj_ext,NN,15,-1.6153939093387255
6,pushed,5689.125,obj_ext,VBD,15,-0.6575808940320204
7,into,183903.75,obj_ext,TO,15,2.8262649157595674
8,the,6961417.875,obj_ext,DT,15,6.461418845027831
9,clothes,8240.625,obj_ext,NN,15,-0.28545033285113264
10,rack,840.375,obj_ext,VBP,15,-2.5857840820617564
11,left,52975.125,obj_ext,VBD,15,1.5802057445035624
12,without,51952.5,obj_ext,IN,15,1.5606783996360583
1,the,6961417.875,obj_ext,DT,16,6.461418845027831
2,plumber,243.0,obj_ext,NN,16,-3.848031652810488
3,who,232455.375,obj_ext,WP,16,3.0607401348152368
4,the,6961417.875,obj_ext,DT,16,6.461418845027831
5,carpenter,534.375,obj_ext,NN,16,-3.0450758307775874
6,drove,4172.625,obj_ext,VBD,16,-0.9692807618233625
7,to,2880389.25,obj_ext,TO,16,5.578807643890024
8,the,6961417.875,obj_ext,DT,16,6.461418845027831
9,worksite,11.25,obj_ext,NN,16,-7.105216335875734
10,used,75341.25,obj_ext,VBN,16,1.9329229320419676
11,to,2880389.25,obj_ext,TO,16,5.578807643890024
12,always,52006.5,obj_ext,RB,16,1.5617189397490685
