activation	item	position	word	retrieve_wh	reanalysis	agreeing_actions	matching_fs	fan_size	condition
4.60386408396971	11	5	assistant	None	yes	3	6	797528	obj_ext
4.44033028472673	11	6	assigned	None	yes	6	8.16666666666667	1414758.85714286	obj_ext
9.35056034089955	11	7	to	yes	no	7	12	2731706.83333333	obj_ext
6.68518748430798	11	8	the	None	no	3	9	1501211.66666667	obj_ext
5.85724404177468	11	9	project	None	yes	2.33333333333333	16.6666666666667	1117163.39784946	obj_ext
7.72880000031181	11	10	will	None	no	3	10	1367252.7	obj_ext
2.09916066588863	12	1	the	None	no	2	6.5	1440528.92307692	obj_ext
5.98597782117603	12	2	firefighter	None	no	3	8.33333333333333	1636418.95357143	obj_ext
10.9359338699241	12	3	who	None	yes	3.5	12.75	1028324.78653846	obj_ext
7.53049629107731	12	4	the	None	no	3	10	578399.1	obj_ext
5.99858239881228	12	5	policewoman	None	no	3.33333333333333	9.55555555555556	679627.177803678	obj_ext
7.59904775538744	12	6	directed	yes	yes	3.09090909090909	10.5454545454545	1316240.80268595	obj_ext
6.95269670478343	12	7	to	None	no	3	9	1457602.33333333	obj_ext
6.74428676257802	12	8	the	None	no	5	9	2397271.11111111	obj_ext
7.20644648017523	12	9	scene	None	no	3.06666666666667	11.6666666666667	1393188.90225219	obj_ext
7.35626578297924	12	10	was	None	no	3	9	1553209.33333333	obj_ext
2.09916066588863	13	1	the	None	no	2	6.5	1440528.92307692	obj_ext
5.98597782117603	13	2	prisoner	None	no	3	8.33333333333333	1636418.95357143	obj_ext
10.9359338699241	13	3	who	None	yes	3.5	12.75	1028324.78653846	obj_ext
7.53049629107731	13	4	the	None	no	3	10	578399.1	obj_ext
5.96731734625712	13	5	guard	None	no	3.33333333333333	9.66666666666667	688197.461279461	obj_ext
7.05971421694695	13	6	shoved	yes	no	2.90909090909091	11.5454545454545	1242758.92613636	obj_ext
5.51592972231439	13	7	into	None	no	3	8	1723041	obj_ext
5.63036698214593	13	8	the	None	no	14	8	7649666.5	obj_ext
5.21218378538618	13	9	wall	None	yes	2.33333333333333	16	1233501.87910906	obj_ext
7.50805016208267	13	10	has	None	no	3	9	1529881	obj_ext
2.09916066588863	14	1	the	None	no	2	6.5	1440528.92307692	obj_ext
5.98597782117603	14	2	cheerleader	None	no	3	8.33333333333333	1636418.95357143	obj_ext
10.9359338699241	14	3	who	None	yes	3.5	12.75	1028324.78653846	obj_ext
7.53049629107731	14	4	the	None	no	3	10	578399.1	obj_ext
5.96731734625712	14	5	quarterback	None	no	3.33333333333333	9.66666666666667	687697.683501684	obj_ext
6.52551062965978	14	6	took	None	yes	3	7.66666666666667	743609.739130435	obj_ext
9.83440044311653	14	7	to	yes	no	3	12.3333333333333	1139109.64864865	obj_ext
6.68518748430798	14	8	the	None	no	3	9	1501211.66666667	obj_ext
7.35182302112056	14	9	party	None	yes	3.4	14.0166666666667	1516971.78512533	obj_ext
6.28612880703086	14	10	has	None	no	3	7.66666666666667	1771794	obj_ext
2.09916066588863	15	1	the	None	no	2	6.5	1440528.92307692	obj_ext
6.1977302023301	15	2	customer	None	no	3	8.44444444444444	1609335.43238095	obj_ext
10.9359338699241	15	3	who	None	yes	3.5	12.75	1028324.78653846	obj_ext
7.53049629107731	15	4	the	None	no	3	10	578399.1	obj_ext
